,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,2480,3509,-1.0,
1,2,1,1,0,0,0,1027,143,423,43,-1.0,
2,3,1,1,1,0,0,1027,143,423,43,-1.0,
3,4,1,1,1,1,0,1027,143,423,43,-1.0,
4,5,1,1,1,1,1,1027,143,165,43,90.811295,Original
5,5,1,1,1,1,2,1207,143,76,34,92.157837,Tax
6,5,1,1,1,1,3,1299,143,151,34,92.541588,Invoice
7,2,1,2,0,0,0,235,252,460,55,-1.0,
8,3,1,2,1,0,0,235,252,460,55,-1.0,
9,4,1,2,1,1,0,235,252,460,55,-1.0,
10,5,1,2,1,1,1,235,252,148,43,92.575546,Driver
11,5,1,2,1,1,2,400,252,96,55,92.575546,Trip
12,5,1,2,1,1,3,520,252,175,43,92.637634,Invoice
13,2,1,3,0,0,0,412,342,605,293,-1.0,
14,3,1,3,1,0,0,412,342,605,293,-1.0,
15,4,1,3,1,1,0,598,342,298,30,-1.0,
16,5,1,3,1,1,1,598,343,105,29,93.058456,BODA
17,5,1,3,1,1,2,717,342,179,30,92.096298,BHASKAR
18,4,1,3,1,2,0,596,393,421,30,-1.0,
19,5,1,3,1,2,1,596,394,58,29,91.289223,Ola
20,5,1,3,1,2,2,668,394,96,29,93.080154,Prime
21,5,1,3,1,2,3,778,393,106,30,92.163689,Sedan
22,5,1,3,1,2,4,899,410,10,3,92.163689,-
23,5,1,3,1,2,5,923,393,94,30,93.004562,Silver
24,4,1,3,1,3,0,417,444,359,56,-1.0,
25,5,1,3,1,3,1,417,450,155,50,0.0,₹m
26,5,1,3,1,3,2,597,444,80,30,92.255226,Swift
27,5,1,3,1,3,3,692,445,84,29,92.411102,Dzire
28,4,1,3,1,4,0,412,447,413,78,-1.0,
29,5,1,3,1,4,1,412,447,167,65,3.712265,C=o
30,5,1,3,1,4,2,596,495,229,30,67.350052,TSO7FM7113
31,4,1,3,1,5,0,596,547,320,38,-1.0,
32,5,1,3,1,5,1,596,548,150,37,92.439583,Operator
33,5,1,3,1,5,2,759,547,157,30,92.134499,State/UT:
34,4,1,3,1,6,0,596,599,180,36,-1.0,
35,5,1,3,1,6,1,596,599,180,36,91.741501,Telangana
36,2,1,4,0,0,0,225,389,176,175,-1.0,
37,3,1,4,1,0,0,225,389,176,175,-1.0,
38,4,1,4,1,1,0,225,389,176,175,-1.0,
39,5,1,4,1,1,1,225,389,176,175,95.0, 
40,2,1,5,0,0,0,232,688,701,145,-1.0,
41,3,1,5,1,0,0,232,688,701,145,-1.0,
42,4,1,5,1,1,0,234,688,524,29,-1.0,
43,5,1,5,1,1,1,234,688,116,29,92.589462,Invoice
44,5,1,5,1,1,2,366,688,32,28,90.882385,ID
45,5,1,5,1,1,3,416,688,342,29,91.179558,DILTWJODT281980
46,4,1,5,1,2,0,232,804,701,29,-1.0,
47,5,1,5,1,2,1,232,804,164,29,93.010147,Customer
48,5,1,5,1,2,2,410,804,98,29,92.55146,Name
49,5,1,5,1,2,3,524,804,221,29,92.049469,Madankumar
50,5,1,5,1,2,4,757,804,176,29,92.017006,Thirumalai
51,2,1,6,0,0,0,233,918,881,104,-1.0,
52,3,1,6,1,0,0,233,918,881,104,-1.0,
53,4,1,6,1,1,0,233,918,881,38,-1.0,
54,5,1,6,1,1,1,233,919,111,37,91.354034,Pickup
55,5,1,6,1,1,2,357,919,138,29,91.660713,Address
56,5,1,6,1,1,3,507,918,44,30,93.305809,S2
57,5,1,6,1,1,4,564,919,66,34,92.291138,"TIE,"
58,5,1,6,1,1,5,647,919,173,37,91.801582,Kukatpally
59,5,1,6,1,1,6,835,919,150,29,91.965004,Industrial
60,5,1,6,1,1,7,1001,919,113,34,92.943665,"Estate,"
61,4,1,6,1,2,0,233,986,826,36,-1.0,
62,5,1,6,1,2,1,233,986,180,36,91.792648,"Balanagar,"
63,5,1,6,1,2,2,429,986,193,36,92.212097,"Hyderabad,"
64,5,1,6,1,2,3,636,986,180,36,91.641312,Telangana
65,5,1,6,1,2,4,829,987,134,33,93.26564,"520037,"
66,5,1,6,1,2,5,980,986,79,29,92.827065,India
67,2,1,7,0,0,0,233,1088,206,37,-1.0,
68,3,1,7,1,0,0,233,1088,206,37,-1.0,
69,4,1,7,1,1,0,233,1088,206,37,-1.0,
70,5,1,7,1,1,1,233,1088,206,37,83.765656,Description
71,2,1,8,0,0,0,231,1188,757,231,-1.0,
72,3,1,8,1,0,0,231,1188,757,231,-1.0,
